date,year,month,day,day_of_year,precipitation_mm,temp_max_c,temp_min_c,temp_mean_c,rh_pct,solar_rad_mj_m2,wind_speed_m_s
2014-09-07,2014,9,7,250,0.82,28.74,21.71,24.76,79.47,9.83,3.97
2014-09-08,2014,9,8,251,0.53,30.41,21.81,25.14,77.02,15.22,5.05
2014-09-09,2014,9,9,252,0.32,32.02,21.51,25.78,72.58,20.58,5.22
2014-09-10,2014,9,10,253,5.3,30.48,20.78,25.11,74.92,15.38,4.07
2014-09-11,2014,9,11,254,1.18,32.84,20.97,25.8,71.44,17.44,3.59
2014-09-12,2014,9,12,255,0.06,33.37,20.57,26.09,70.57,18.09,3.37
2014-09-13,2014,9,13,256,0.05,33.95,20.69,26.72,70.39,19.29,3.02
2014-09-14,2014,9,14,257,0.24,32.17,22.01,26.39,73.97,20.62,2.61
2014-09-15,2014,9,15,258,0.29,31.54,22.39,26.26,73.46,19.03,2.73
2014-09-16,2014,9,16,259,6.96,29.3,22.35,25.47,78.14,20.08,2.85
2014-09-17,2014,9,17,260,3.45,31.27,21.65,25.8,74.48,19.16,3.33
2014-09-18,2014,9,18,261,0.54,32.91,22.17,26.85,73.41,19.08,2.23
2014-09-19,2014,9,19,262,1.8,32.35,22.62,26.69,74.36,16.76,2.48
2014-09-20,2014,9,20,263,11.13,30.91,22.91,26.12,78.07,14.15,2.87
2014-09-21,2014,9,21,264,0.2,32.01,21.78,26.3,74.2,18.54,2.75
2014-09-22,2014,9,22,265,0.01,33.19,22.11,27.2,71.96,20.61,2.24
2014-09-23,2014,9,23,266,0.0,33.34,22.47,27.54,71.73,20.06,1.95
2014-09-24,2014,9,24,267,4.63,31.43,23.21,27.04,76.06,17.72,1.95
2014-09-25,2014,9,25,268,2.75,31.84,22.81,26.6,74.25,21.15,2.12
2014-09-26,2014,9,26,269,1.43,34.01,21.21,26.42,66.2,22.61,2.54
2014-09-27,2014,9,27,270,0.01,34.13,17.62,25.52,59.53,21.95,2.44
2014-09-28,2014,9,28,271,0.21,33.88,19.14,25.92,62.69,21.24,2.6
2014-09-29,2014,9,29,272,0.05,33.58,19.3,26.08,68.74,21.57,2.37
2014-09-30,2014,9,30,273,2.55,33.26,21.08,26.61,70.95,20.78,2.08
2014-10-01,2014,10,1,274,0.6,33.2,21.61,26.72,68.27,20.09,1.77
2014-10-02,2014,10,2,275,0.07,34.6,19.59,26.53,62.72,21.62,2.13
2014-10-03,2014,10,3,276,0.0,35.01,19.93,27.09,62.66,20.83,1.62
2014-10-04,2014,10,4,277,0.0,35.03,21.77,27.92,62.8,18.59,1.41
2014-10-05,2014,10,5,278,0.05,33.53,21.64,27.37,67.77,20.91,1.47
2014-10-06,2014,10,6,279,5.29,34.08,21.57,27.68,66.43,19.99,1.25
2014-10-07,2014,10,7,280,2.43,32.22,22.42,26.9,70.76,18.44,1.17
2014-10-08,2014,10,8,281,3.48,32.71,22.41,26.94,70.53,16.26,1.2
2014-10-09,2014,10,9,282,4.24,32.86,22.07,26.88,72.4,19.03,1.43
2014-10-10,2014,10,10,283,0.16,34.2,21.86,27.41,70.63,18.17,1.87
2014-10-11,2014,10,11,284,0.1,34.88,22.03,27.54,65.67,19.54,2.46
2014-10-12,2014,10,12,285,0.0,34.51,19.13,25.88,57.37,21.56,2.86
2014-10-13,2014,10,13,286,0.0,34.71,17.76,25.32,54.63,22.61,2.75
2014-10-14,2014,10,14,287,0.0,35.0,16.96,25.97,58.42,22.35,1.43
2014-10-15,2014,10,15,288,0.0,34.69,20.66,27.03,63.58,20.03,2.22
2014-10-16,2014,10,16,289,0.0,34.57,21.11,27.39,65.94,18.72,2.54
2014-10-17,2014,10,17,290,0.08,33.35,22.1,27.14,67.77,18.39,2.25
2014-10-18,2014,10,18,291,1.93,33.38,21.55,26.79,66.88,19.66,2.14
2014-10-19,2014,10,19,292,0.16,33.84,20.6,26.57,65.03,20.72,2.33
2014-10-20,2014,10,20,293,0.04,34.17,19.8,26.35,62.04,21.79,2.88
2014-10-21,2014,10,21,294,0.25,33.99,19.5,26.22,62.78,20.63,2.6
2014-10-22,2014,10,22,295,0.04,34.04,20.39,26.07,61.65,19.98,2.64
2014-10-23,2014,10,23,296,0.0,33.86,18.25,25.2,55.3,20.23,2.55
2014-10-24,2014,10,24,297,0.07,31.8,19.05,24.7,58.36,15.58,2.3
2014-10-25,2014,10,25,298,44.44,24.62,17.98,21.02,80.0,4.72,2.99
2014-10-26,2014,10,26,299,21.66,24.15,17.34,20.37,85.49,5.54,1.94
2014-10-27,2014,10,27,300,0.54,28.19,18.36,22.62,78.7,11.53,1.59
2014-10-28,2014,10,28,301,0.02,30.83,18.31,23.57,69.36,19.59,1.82
2014-10-29,2014,10,29,302,0.0,30.55,15.14,22.27,62.71,20.73,2.34
2014-10-30,2014,10,30,303,0.0,30.89,14.77,22.02,63.07,21.07,2.42
2014-10-31,2014,10,31,304,0.0,29.41,14.34,21.45,66.59,20.79,2.01
2014-11-01,2014,11,1,305,0.0,31.4,15.62,22.64,65.21,18.86,2.25
2014-11-02,2014,11,2,306,0.0,32.31,15.69,23.29,64.51,19.94,2.24
2014-11-03,2014,11,3,307,0.0,31.74,16.29,23.15,63.42,19.71,2.2
2014-11-04,2014,11,4,308,0.0,31.94,15.32,22.78,57.38,19.6,1.76
2014-11-05,2014,11,5,309,0.0,32.16,15.65,23.23,56.07,18.22,1.44
2014-11-06,2014,11,6,310,0.0,32.31,16.21,23.46,57.05,18.59,1.59
2014-11-07,2014,11,7,311,0.0,32.65,15.67,23.21,55.8,18.95,1.96
2014-11-08,2014,11,8,312,0.0,31.67,14.5,22.2,56.23,19.07,2.24
2014-11-09,2014,11,9,313,0.0,30.79,14.78,22.34,55.81,16.04,1.9
2014-11-10,2014,11,10,314,1.75,30.67,19.18,24.15,70.82,14.99,1.72
